CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120158,"Peralta, Christine N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120158,"Peralta, Christine N",0,19,1,2,1,1,0,0,0,0,1,0,0,0,3.72
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120158,"Thomas, Merin A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120158,"Thomas, Merin A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120158,"Lee, Sang S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120158,"Lee, Sang S",1,13,5,1,3,3,1,0,0,0,0,0,1,1,3.47
56496,AAS,100,Intro Asian American Studies,B,LCD,120158,"Shinozuka, Jeannie N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55765,AAS,215,US Citizenship Comparatively,A,LCD,120158,"Cacho, Lisa M",1,3,5,4,1,6,1,3,2,1,1,1,0,0,2.81
59944,AAS,291,Hinduism in the United States,RP,LCD,120158,"Pandharipande, R V",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120158,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51335,AAS,390,"Prison, Race, and Terror",NP,LCD,120158,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31301,AAS,490,Critical Ethnic Studies,JRU,LCD,120158,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47822,AAS,490,Race and the Environment,JSG,LCD,120158,"Shinozuka, Jeannie N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120158,"Green, Angela R",0,27,0,0,11,0,0,2,0,0,0,0,0,0,3.63
55376,ABE,199,Water in the Global Environ,CHP,LCD,120158,"Kalita, Prasanta K",2,18,0,1,0,0,0,0,0,0,0,0,0,0,3.97
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120158,"Grift, Tony E",1,29,9,10,7,0,4,1,0,1,0,1,0,0,3.5
