Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
AAS100,AAS,46,223,269,334,491,0.5478615071283096,0.6802443991853361,NO,NO,Yes,NO,Yes,3
AAS120,AAS,6,7,13,18,28,0.4642857142857143,0.6428571428571429,NO,NO,NO,NO,Yes,3
AAS215,AAS,1,3,4,9,29,0.13793103448275862,0.3103448275862069,NO,Yes,NO,NO,Yes,3
AAS246,AAS,0,27,27,31,32,0.84375,0.96875,NO,NO,Yes,NO,Yes,3
AAS258,AAS,0,41,41,48,50,0.82,0.96,NO,NO,NO,NO,NO,3
AAS365,AAS,7,19,26,32,58,0.4482758620689655,0.5517241379310345,NO,NO,NO,NO,NO,3
ABE100,ABE,0,57,57,57,82,0.6951219512195121,0.6951219512195121,NO,NO,NO,NO,NO,1
ABE141,ABE,18,23,41,66,90,0.45555555555555555,0.7333333333333333,NO,NO,NO,NO,NO,2
ABE199,ABE,2,18,20,20,21,0.9523809523809523,0.9523809523809523,NO,NO,NO,NO,NO,1
ABE223,ABE,2,57,59,70,103,0.5728155339805825,0.6796116504854369,NO,NO,NO,NO,NO,2
ABE224,ABE,20,63,83,92,108,0.7685185185185185,0.8518518518518519,NO,NO,NO,NO,NO,2
ABE225,ABE,4,18,22,32,92,0.2391304347826087,0.34782608695652173,NO,NO,NO,NO,NO,2
ABE226,ABE,14,22,36,56,95,0.37894736842105264,0.5894736842105263,NO,NO,NO,NO,NO,2
ABE425,ABE,11,52,63,70,90,0.7,0.7777777777777778,NO,NO,NO,NO,NO,4
ABE430,ABE,0,223,223,239,245,0.9102040816326531,0.9755102040816327,NO,NO,NO,NO,NO,2
ABE436,ABE,7,14,21,49,106,0.19811320754716982,0.46226415094339623,NO,NO,NO,NO,NO,3
ABE466,ABE,5,17,22,41,59,0.3728813559322034,0.6949152542372882,NO,NO,NO,NO,NO,3
ABE469,ABE,1,36,37,70,90,0.4111111111111111,0.7777777777777778,Yes,NO,NO,NO,NO,4
ABE488,ABE,12,23,35,44,58,0.603448275862069,0.7586206896551724,NO,NO,NO,NO,NO,3
ACCY200,ACCY,24,260,284,473,971,0.2924819773429454,0.48712667353244077,NO,NO,NO,NO,NO,3
ACCY201,ACCY,190,315,505,763,1697,0.2975839717147908,0.44961697112551563,NO,NO,NO,NO,NO,3
ACCY202,ACCY,147,319,466,539,1410,0.3304964539007092,0.3822695035460993,NO,NO,NO,NO,NO,3
ACCY301,ACCY,54,161,215,357,870,0.2471264367816092,0.4103448275862069,NO,NO,NO,NO,NO,3
ACCY302,ACCY,11,123,134,328,837,0.16009557945041816,0.3918757467144564,NO,NO,NO,NO,NO,3
ACCY303,ACCY,57,207,264,447,874,0.30205949656750575,0.511441647597254,NO,NO,NO,NO,NO,3
ACCY304,ACCY,23,209,232,397,831,0.27918170878459686,0.4777376654632972,NO,NO,NO,NO,NO,3
