Course Subject,Course Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Semester
AAS,100,Intro Asian American Studies,0,19,1,2,1,1,0,0,0,0,1,0,0,F-15
AAS,100,Intro Asian American Studies,1,13,5,1,3,3,1,0,0,0,0,0,1,F-15
AAS,100,Intro Asian American Studies,5,19,1,2,1,0,1,0,0,0,1,0,0,S-16
AAS,100,Intro Asian American Studies,2,14,2,1,3,0,1,1,0,1,1,0,1,S-16
AAS,100,Intro Asian American Studies,0,21,2,3,3,3,1,0,0,0,0,0,1,S-16
AAS,100,Intro Asian American Studies,5,21,2,3,1,0,0,1,0,0,0,0,0,S-16
AAS,100,Intro Asian American Studies,0,9,5,7,6,3,0,0,0,0,0,0,0,S-16
AAS,100,Intro Asian American Studies,3,6,6,4,4,3,1,2,0,0,0,0,1,S-15
AAS,100,Intro Asian American Studies,0,17,4,6,0,0,1,0,0,0,0,0,3,S-15
AAS,100,Intro Asian American Studies,0,12,8,5,1,3,0,0,0,0,0,0,0,S-15
AAS,100,Intro Asian American Studies,1,10,4,3,6,0,1,2,0,0,0,0,0,S-15
AAS,100,Intro Asian American Studies,1,7,6,7,4,1,0,1,0,0,0,0,0,S-15
AAS,100,Intro Asian American Studies,7,12,1,5,1,0,0,1,1,0,0,0,0,F-16
AAS,100,Intro Asian American Studies,6,4,6,3,1,1,0,0,1,0,0,0,0,F-16
AAS,100,Intro Asian American Studies,9,6,7,3,1,0,2,0,0,1,0,0,0,F-16
AAS,100,Intro Asian American Studies,4,18,2,1,3,0,1,0,1,0,0,1,1,F-16
AAS,100,Intro Asian American Studies,2,15,3,0,3,2,1,2,1,0,0,0,0,F-16
AAS,120,Intro to Asian Am Pop Culture,6,7,5,2,0,3,3,0,1,0,0,0,1,S-15
AAS,215,US Citizenship Comparatively,1,3,5,4,1,6,1,3,2,1,1,1,0,F-15
AAS,246,Asian American Youth in Film,0,27,4,0,1,0,0,0,0,0,0,0,0,F-16
AAS,258,Muslims in America,0,19,2,1,0,0,0,0,0,0,0,0,0,S-16
AAS,258,Muslims in America,0,22,5,1,0,0,0,0,0,0,0,0,0,F-16
AAS,365,Asian American Media and Film,1,4,6,4,5,1,3,2,2,0,0,1,0,S-16
AAS,365,Asian American Media and Film,6,15,0,0,1,0,3,1,1,0,0,0,2,S-15
ABE,100,Intro Agric & Biological Engrg,0,27,0,0,11,0,0,2,0,0,0,0,0,F-15
ABE,100,Intro Agric & Biological Engrg,0,30,0,0,11,0,0,1,0,0,0,0,0,F-16
ABE,141,ABE Principles: Biological,3,7,12,4,6,2,3,1,0,0,0,0,1,S-16
ABE,141,ABE Principles: Biological,15,16,13,5,1,0,0,0,0,0,0,0,1,S-15
ABE,199,Water in the Global Environ,2,18,0,1,0,0,0,0,0,0,0,0,0,F-15
ABE,223,ABE Principles: Machine Syst,1,29,9,10,7,0,4,1,0,1,0,1,0,F-15
ABE,223,ABE Principles: Machine Syst,1,28,2,1,6,2,0,0,0,0,0,0,0,F-16
ABE,224,ABE Principles: Soil & Water,19,30,0,4,0,0,1,2,0,0,0,0,3,F-15
ABE,224,ABE Principles: Soil & Water,1,33,9,3,2,0,0,0,0,0,0,0,1,F-16
ABE,225,ABE Principles: Bioenvironment,0,12,8,17,12,3,1,2,0,0,0,0,0,S-16
ABE,225,ABE Principles: Bioenvironment,4,6,2,6,9,1,1,6,0,0,0,0,2,S-15
ABE,226,ABE Principles: Bioprocessing,1,15,15,15,6,1,1,1,1,0,0,0,0,S-16
ABE,226,ABE Principles: Bioprocessing,13,7,5,4,5,0,1,1,0,0,1,0,2,S-15
ABE,425,Engrg Measurement Systems,9,24,4,7,2,1,1,0,0,0,0,0,0,S-16
ABE,425,Engrg Measurement Systems,2,28,3,4,2,2,1,0,0,0,0,0,0,S-15
ABE,430,Project Management,0,119,9,2,1,0,0,0,0,0,0,0,1,F-15
ABE,430,Project Management,0,104,7,0,1,0,0,0,0,0,0,0,1,F-16
ABE,436,Renewable Energy Systems,3,4,12,17,4,0,3,0,0,0,1,0,1,S-16
ABE,436,Renewable Energy Systems,4,10,16,14,11,1,1,4,0,0,0,0,0,S-15
ABE,466,Engineering Off-Road Vehicles,2,11,11,2,0,2,0,1,1,0,0,0,1,F-15
ABE,466,Engineering Off-Road Vehicles,3,6,8,7,2,0,2,0,0,0,0,0,0,F-16
ABE,469,Industry-Linked Design Project,1,21,13,7,1,0,0,0,0,0,0,0,0,S-16
