Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
AAS100,AAS,1,32,33,39,53,0.6226415094339622,0.7358490566037735,NO,NO,Yes,NO,Yes,3
AAS215,AAS,1,3,4,9,29,0.13793103448275862,0.3103448275862069,NO,Yes,NO,NO,Yes,3
ABE100,ABE,0,27,27,27,40,0.675,0.675,NO,NO,NO,NO,NO,1
ABE199,ABE,2,18,20,20,21,0.9523809523809523,0.9523809523809523,NO,NO,NO,NO,NO,1
ABE223,ABE,1,29,30,39,63,0.47619047619047616,0.6190476190476191,NO,NO,NO,NO,NO,2
ABE224,ABE,19,30,49,49,59,0.8305084745762712,0.8305084745762712,NO,NO,NO,NO,NO,2
ABE430,ABE,0,119,119,128,132,0.9015151515151515,0.9696969696969697,NO,NO,NO,NO,NO,2
ABE466,ABE,2,11,13,24,31,0.41935483870967744,0.7741935483870968,NO,NO,NO,NO,NO,3
ABE488,ABE,6,9,15,20,29,0.5172413793103449,0.6896551724137931,NO,NO,NO,NO,NO,3
ACCY200,ACCY,5,81,86,151,321,0.26791277258566976,0.470404984423676,NO,NO,NO,NO,NO,3
ACCY201,ACCY,68,89,157,223,534,0.2940074906367041,0.41760299625468167,NO,NO,NO,NO,NO,3
ACCY202,ACCY,34,53,87,94,199,0.4371859296482412,0.4723618090452261,NO,NO,NO,NO,NO,3
ACCY301,ACCY,7,38,45,96,288,0.15625,0.3333333333333333,NO,NO,NO,NO,NO,3
ACCY302,ACCY,4,41,45,97,254,0.17716535433070865,0.38188976377952755,NO,NO,NO,NO,NO,3
ACCY303,ACCY,10,49,59,108,216,0.27314814814814814,0.5,NO,NO,NO,NO,NO,3
ACCY304,ACCY,3,44,47,94,223,0.21076233183856502,0.42152466367713004,NO,NO,NO,NO,NO,3
ACCY312,ACCY,10,47,57,99,214,0.26635514018691586,0.46261682242990654,NO,NO,NO,NO,NO,3
ACCY405,ACCY,1,11,12,58,139,0.08633093525179857,0.4172661870503597,NO,NO,NO,NO,NO,3
ACCY410,ACCY,12,32,44,72,158,0.27848101265822783,0.45569620253164556,NO,NO,NO,NO,NO,3
ACCY415,ACCY,0,14,14,32,87,0.16091954022988506,0.367816091954023,NO,NO,NO,NO,NO,3
ACCY451,ACCY,0,4,4,11,23,0.17391304347826086,0.4782608695652174,NO,NO,NO,NO,NO,3
ACCY500,ACCY,4,46,50,103,165,0.30303030303030304,0.6242424242424243,NO,NO,NO,NO,NO,1
ACCY502,ACCY,11,41,52,67,103,0.5048543689320388,0.6504854368932039,NO,NO,NO,NO,NO,4
ACCY503,ACCY,4,19,23,43,67,0.34328358208955223,0.6417910447761194,NO,NO,NO,NO,NO,4
ACCY504,ACCY,0,21,21,58,110,0.19090909090909092,0.5272727272727272,NO,NO,NO,NO,NO,4
ACCY505,ACCY,7,37,44,91,147,0.29931972789115646,0.6190476190476191,NO,NO,NO,NO,NO,4
ACCY510,ACCY,9,49,58,114,156,0.3717948717948718,0.7307692307692307,NO,NO,NO,NO,NO,4
ACCY511,ACCY,0,8,8,28,58,0.13793103448275862,0.4827586206896552,NO,NO,NO,NO,NO,4
ACCY512,ACCY,24,86,110,157,261,0.421455938697318,0.6015325670498084,NO,NO,NO,NO,NO,4
ACCY515,ACCY,0,31,31,56,131,0.2366412213740458,0.42748091603053434,NO,NO,NO,NO,NO,4
ACCY517,ACCY,0,30,30,52,115,0.2608695652173913,0.45217391304347826,NO,NO,NO,NO,NO,4
ACCY551,ACCY,0,7,7,10,21,0.3333333333333333,0.47619047619047616,NO,NO,NO,NO,NO,4
ACCY552,ACCY,5,4,9,13,24,0.375,0.5416666666666666,NO,NO,NO,NO,NO,4
ACCY554,ACCY,3,5,8,12,24,0.3333333333333333,0.5,NO,NO,NO,NO,NO,4
ACCY556,ACCY,0,4,4,10,21,0.19047619047619047,0.47619047619047616,NO,NO,NO,NO,NO,1
ACCY558,ACCY,3,14,17,21,24,0.7083333333333334,0.875,NO,NO,NO,NO,NO,4
ACE100,ACE,4,12,16,36,180,0.08888888888888889,0.2,NO,NO,Yes,NO,NO,4
ACE161,ACE,0,223,223,223,329,0.6778115501519757,0.6778115501519757,NO,NO,NO,NO,NO,3
ACE199,ACE,5,26,31,35,45,0.6888888888888889,0.7777777777777778,NO,NO,NO,NO,NO,1
ACE210,ACE,9,18,27,48,153,0.17647058823529413,0.3137254901960784,NO,NO,NO,NO,NO,3
ACE222,ACE,28,62,90,112,185,0.4864864864864865,0.6054054054054054,NO,NO,NO,NO,NO,3
ACE240,ACE,9,45,54,90,173,0.31213872832369943,0.5202312138728323,NO,NO,NO,NO,NO,3
ACE251,ACE,6,34,40,72,173,0.23121387283236994,0.4161849710982659,NO,NO,Yes,NO,Yes,3
ACE261,ACE,0,6,6,16,69,0.08695652173913043,0.2318840579710145,NO,NO,NO,NO,NO,4
ACE306,ACE,2,9,11,22,40,0.275,0.55,NO,NO,NO,NO,NO,3
ACE341,ACE,16,35,51,62,74,0.6891891891891891,0.8378378378378378,NO,NO,NO,NO,NO,1
ACE345,ACE,0,51,51,81,125,0.408,0.648,NO,NO,NO,NO,NO,3
ACE346,ACE,8,25,33,46,64,0.515625,0.71875,NO,NO,NO,NO,NO,3
ACE411,ACE,11,6,17,26,45,0.37777777777777777,0.5777777777777777,NO,NO,NO,NO,NO,3
ACE427,ACE,0,8,8,16,56,0.14285714285714285,0.2857142857142857,NO,NO,NO,NO,NO,3
ACE428,ACE,5,13,18,41,95,0.18947368421052632,0.43157894736842106,NO,NO,NO,NO,NO,3
ACE432,ACE,9,10,19,26,30,0.6333333333333333,0.8666666666666667,NO,NO,NO,NO,NO,3
ACE435,ACE,6,17,23,42,92,0.25,0.45652173913043476,NO,NO,NO,NO,NO,3
ACE444,ACE,5,45,50,62,92,0.5434782608695652,0.6739130434782609,NO,NO,NO,NO,NO,3
ACE447,ACE,2,16,18,30,37,0.4864864864864865,0.8108108108108109,NO,NO,NO,NO,NO,3
ACE454,ACE,3,4,7,7,37,0.1891891891891892,0.1891891891891892,NO,NO,NO,NO,NO,2
ACE455,ACE,16,12,28,36,64,0.4375,0.5625,NO,NO,NO,NO,NO,3
ACE471,ACE,14,7,21,25,26,0.8076923076923077,0.9615384615384616,NO,NO,NO,NO,NO,3
ACE562,ACE,3,19,22,34,43,0.5116279069767442,0.7906976744186046,NO,NO,NO,NO,NO,2
ACE564,ACE,1,15,16,25,31,0.5161290322580645,0.8064516129032258,NO,NO,NO,NO,NO,2
ACE592,ACE,0,7,7,13,22,0.3181818181818182,0.5909090909090909,NO,NO,NO,NO,NO,0
ACES101,ACES,181,87,268,313,366,0.73224043715847,0.855191256830601,NO,NO,NO,NO,NO,2
ACES179,ACES,3,9,12,20,50,0.24,0.4,NO,NO,NO,NO,NO,3
ADV150,ADV,40,171,211,229,378,0.5582010582010583,0.6058201058201058,NO,NO,NO,NO,NO,3
ADV281,ADV,0,4,4,34,91,0.04395604395604396,0.37362637362637363,NO,NO,NO,NO,NO,3
ADV283,ADV,0,46,46,90,98,0.46938775510204084,0.9183673469387755,NO,NO,NO,NO,NO,3
